something,else
Hello,I'm,a,TXT
something,else
Hello,I'm,a,TXT
something,else
Latest,readings,recorded,at,08:30,Hong,Kong,Time,10,January,2017
STN,WINDDIRECTION,WINDSPEED,GUST,TEMP,RH,MAXTEMP,MINTEMP,GRASSTEMP,GRASSMINTEMP,VISIBILITY,PRESSURE,
HKO,,,,19.0,80,19.8,18.8,,,,1019.5,
HKA,96,25,33,19.8,74,21.1,19.5,,,9390,1019.2,
SHA,79,8,15,18.6,79,19.3,18.4,,,,1019.7,
SKG,87,14,20,18.9,83,19.4,18.7,,,,,
SE,101,19,33,,,,,,,,,
TY1,102,12,25,19.2,76,19.8*,19.1*,,,,,
LFS,70,13,19,18.9,82,18.9,17.6,,,,1019.3,
TKL,79,9,18,19.0,79,19.2,18.6,18.4,17.3,,1019.4,
CCH,98,24,35,18.5,81,19.0,18.1,,,,1019.0,
KP,126,17,31,18.4,80,19.0,18.2,19.0,18.3,,1019.5,
WGL,74,44,49,18.4,81,19.0,18.2,,,9640,1019.0,
TMS,,,,11.9,,12.4,11.7,12.5,12.4,,,
TC,102,40,47,13.5,100,14.4,13.5,,,,,
SF,92,17,32,,,,,,,,,
WLP,88,6,11,19.4,76,19.4,18.5,,,,1019.2,
TUN,98,17,27,19.6,77,19.9,17.8,,,,,
HKS,9999,5,14,18.5,77,19.2,18.1,,,,,
TAP,114,16,28,,,,,,,,,
GI,53,43,56,,,,,,,,,
SE1,,,,19.1,,19.8,19.0,,,,,
JKB,9999,8,19,18.7,79,19.1,18.4,,,,,
PLC,91,23,30,18.6,,19.0*,18.4*,,,,,
TYW,,,,18.7,,18.8,18.2,,,,,
YLP,,,,19.2,,19.7*,18.3*,,,,,
SEK,85,13,22,19.2,78,19.7,18.7,,,,1019.9,
TPO,,,,19.0,82,19.5,18.9,,,,1019.6,
NGP,64,28,40,14.0,,14.1*,13.6*,,,,,
VP1,,,,15.5,,16.0*,15.1*,,,,,
PEN,30,30,39,19.2,81,19.6,18.8,,,,1019.0,
SSH,,,,18.7,82,19.2,18.5,,,,1019.5,
TWN,,,,17.9,83,18.3*,17.5*,,,,,
HKP,,,,18.9,,19.6*,18.7*,,,,,
SKW,,,,18.2,,18.9*,18.1*,,,,,
KLT,,,,18.2,,18.9,18.1,,,,,
HPV,,,,19.2,,19.8*,18.9*,,,,,
KSC,,,,18.1,83,18.4,17.9,,,,,
WTS,,,,18.8,,19.4,18.5,,,,,
STY,91,25,41,18.6,,19.2*,18.4*,,,,,
KTG,,,,18.3,,18.9,18.2,,,,,
SSP,,,,19.5,,19.9,19.1,,,,,
TW,,,,18.4,82,19.2*,18.4*,,,,,
TPK,103,19,24,,,,,,,,,
SC,108,19,26,,,,,,,,,
CCB,71,32,38,,,,,,,,,
SWH,,,,,,,,,,9310,,
CP1,,,,,,,,,,6940,,
HSS,,,,,,,,,,,,
VPA,,,,,,,,,,,,
GSI,,,,,,,,,,,,
SLW,,,,,,,,,,,,
TLC,,,,,,,,,,,,
KFB,,,,,,,,,,,,
LAM,,,,,,,,,,,,
ELC,,,,,,,,,,,,
Latest readings recorded at 08:30 Hong Kong Time 10 January 2017
STN,WINDDIRECTION,WINDSPEED,GUST,TEMP,RH,MAXTEMP,MINTEMP,GRASSTEMP,GRASSMINTEMP,VISIBILITY,PRESSURE,
HKO,,,,19.0,80,19.8,18.8,,,,1019.5,
HKA,96,25,33,19.8,74,21.1,19.5,,,9390,1019.2,
SHA,79,8,15,18.6,79,19.3,18.4,,,,1019.7,
SKG,87,14,20,18.9,83,19.4,18.7,,,,,
SE,101,19,33,,,,,,,,,
TY1,102,12,25,19.2,76,19.8*,19.1*,,,,,
LFS,70,13,19,18.9,82,18.9,17.6,,,,1019.3,
TKL,79,9,18,19.0,79,19.2,18.6,18.4,17.3,,1019.4,
CCH,98,24,35,18.5,81,19.0,18.1,,,,1019.0,
KP,126,17,31,18.4,80,19.0,18.2,19.0,18.3,,1019.5,
WGL,74,44,49,18.4,81,19.0,18.2,,,9640,1019.0,
TMS,,,,11.9,,12.4,11.7,12.5,12.4,,,
TC,102,40,47,13.5,100,14.4,13.5,,,,,
SF,92,17,32,,,,,,,,,
WLP,88,6,11,19.4,76,19.4,18.5,,,,1019.2,
TUN,98,17,27,19.6,77,19.9,17.8,,,,,
HKS,9999,5,14,18.5,77,19.2,18.1,,,,,
TAP,114,16,28,,,,,,,,,
GI,53,43,56,,,,,,,,,
SE1,,,,19.1,,19.8,19.0,,,,,
JKB,9999,8,19,18.7,79,19.1,18.4,,,,,
PLC,91,23,30,18.6,,19.0*,18.4*,,,,,
TYW,,,,18.7,,18.8,18.2,,,,,
YLP,,,,19.2,,19.7*,18.3*,,,,,
SEK,85,13,22,19.2,78,19.7,18.7,,,,1019.9,
TPO,,,,19.0,82,19.5,18.9,,,,1019.6,
NGP,64,28,40,14.0,,14.1*,13.6*,,,,,
VP1,,,,15.5,,16.0*,15.1*,,,,,
PEN,30,30,39,19.2,81,19.6,18.8,,,,1019.0,
SSH,,,,18.7,82,19.2,18.5,,,,1019.5,
TWN,,,,17.9,83,18.3*,17.5*,,,,,
HKP,,,,18.9,,19.6*,18.7*,,,,,
SKW,,,,18.2,,18.9*,18.1*,,,,,
KLT,,,,18.2,,18.9,18.1,,,,,
HPV,,,,19.2,,19.8*,18.9*,,,,,
KSC,,,,18.1,83,18.4,17.9,,,,,
WTS,,,,18.8,,19.4,18.5,,,,,
STY,91,25,41,18.6,,19.2*,18.4*,,,,,
KTG,,,,18.3,,18.9,18.2,,,,,
SSP,,,,19.5,,19.9,19.1,,,,,
TW,,,,18.4,82,19.2*,18.4*,,,,,
TPK,103,19,24,,,,,,,,,
SC,108,19,26,,,,,,,,,
CCB,71,32,38,,,,,,,,,
SWH,,,,,,,,,,9310,,
CP1,,,,,,,,,,6940,,
HSS,,,,,,,,,,,,
VPA,,,,,,,,,,,,
GSI,,,,,,,,,,,,
SLW,,,,,,,,,,,,
TLC,,,,,,,,,,,,
KFB,,,,,,,,,,,,
LAM,,,,,,,,,,,,
ELC,,,,,,,,,,,,
